basin,play_subbasin,product_type,product_units,jan_2019,feb_2019,mar_2019,apr_2019,may_2019,jun_2019,jul_2019,aug_2019,sep_2019,oct_2019,nov_2019,dec_2019,jan_2020,feb_2020,mar_2020,apr_2020,may_2020,jun_2020,jul_2020,aug_2020,sep_2020,oct_2020,nov_2020,dec_2020,jan_2021,feb_2021,mar_2021,apr_2021,may_2021
Permian,Other,equivalent co2 released monthly,metric tons,23838.00000,18467.60000,17316.80000,13152.00000,8439.20000,15179.60000,20659.60000,19289.60000,19454.00000,18084.00000,21207.60000,24221.60000,20385.60000,24112.00000,21700.80000,22522.80000,13371.20000,15946.80000,25975.20000,25043.60000,7288.40000,13919.20000,13700.00000,11836.80000,8384.40000,7672.00000,8987.20000,5206.00000,
Williston,Bakken,equivalent co2 released monthly,metric tons,377626.80000,335595.20000,620555.20000,361077.20000,384476.80000,561535.60000,609485.60000,601813.60000,381901.20000,387216.80000,318388.00000,409356.00000,361680.00000,337458.40000,385134.40000,312469.60000,221227.60000,174757.20000,180292.00000,225830.80000,201061.20000,172784.40000,190758.80000,160016.00000,97927.60000,149878.00000,135465.60000,134917.60000,10302.40000
Williston,Three Forks,equivalent co2 released monthly,metric tons,377736.40000,335650.00000,620555.20000,361077.20000,384586.40000,561590.40000,609540.40000,602087.60000,382010.80000,387216.80000,318388.00000,409410.80000,361734.80000,337513.20000,385134.40000,312524.40000,221282.40000,175250.40000,180292.00000,225885.60000,201061.20000,172839.20000,193444.00000,162153.20000,99955.20000,150590.40000,135794.40000,135191.60000,10357.20000
Barnett,Barnett,flared gas,mcfpd,82,,,246,311,242,134,289,159,72,200,399,161,315,130,199,87,67,136,527,195,189,95,130,87,138,172,52,
Denver Julesberg,Niobrara,flared gas,mcfpd,17467,15042,9097,11824,11375,30461,15176,7983,11243,12358,9387,13113,8280,3468,10441,12846,4626,6328,6628,8682,1644,15155,7110,5253,9468,768,11210,2406,771
Eagleford,Eagle Ford,flared gas,mcfpd,73192,32370,27358,67474,32661,78395,104588,143782,143780,109043,95446,116316,78595,65528,31445,54828,39600,57963,53879,79774,44601,72630,63389,71241,50555,36126,43080,27631,
Haynesville,Haynesville-Bossier,flared gas,mcfpd,137,20,181,119,429,515,434,851,611,257,253,206,228,255,101,206,23,211,377,423,218,99,164,134,27,462,54,74,
Permian,All,flared gas,mcfpd,572422,516204,488476,584408,516740,633072,661052,729137,651503,656056,541100,524438,527353,528183,311667,304399,247955,324586,303639,318510,220144,333502,261039,290135,215677,266424,229983,170678,31862
Permian,Central Basin Platform,flared gas,mcfpd,7398,13302,20439,23226,26448,18685,23706,29120,32519,15040,12397,12837,6105,14330,7341,7925,13111,19731,4554,6324,12801,6887,5307,5700,4376,11209,10449,11615,289
Permian,Delaware,flared gas,mcfpd,292945,265246,276954,321424,333458,407054,380851,409967,376820,389121,328474,317918,349223,325323,169180,186486,167409,179064,178483,175868,125548,206432,172890,205273,144416,158420,138876,104635,24613
Permian,Midland,flared gas,mcfpd,242545,215224,166080,221248,142695,183947,232489,270812,224343,235778,178585,173514,151937,165719,113345,91409,55324,108334,101317,114929,73607,106074,71515,69051,59581,87255,72532,47002,293
Permian,Northwestern Shelf,flared gas,mcfpd,15491,10381,14804,10505,9181,14141,11850,7875,5990,5474,8738,5911,8087,7637,9028,4893,4231,7767,3980,6641,3751,5906,2992,3158,2365,4535,2850,4245,6667
Permian,Other,flared gas,mcfpd,14043,12051,10199,8005,4958,9245,12156,11363,11831,10643,12906,14258,12001,15174,12773,13686,7880,9690,15305,14748,4437,8203,8335,6953,4939,5005,5276,3181,
Williston,Bakken,flared gas,mcfpd,222276,218719,365288,219626,226336,341580,358771,354260,232313,227933,193663,240959,212907,212333,226700,190055,130241,106290,106131,132944,122289,101720,116030,94195,57651,97691,79739,82076,94052
Williston,Three Forks,flared gas,mcfpd,222364,218765,365302,219626,226373,341614,358820,354431,232374,227940,193667,241002,212924,212367,226723,190088,130247,106594,106139,132963,122302,101756,117675,95445,58834,98125,79935,82218,94453
Barnett,Barnett,equivalent co2 released daily,metric tons,4.4936,,,13.4808,17.0428,13.2616,7.3432,15.8372,8.7132,3.9456,10.9600,21.8652,8.8228,17.2620,7.1240,10.9052,4.7676,3.6716,7.4528,28.8796,10.6860,10.3572,5.2060,7.1240,4.7676,7.5624,9.4256,2.8496,
Denver Julesberg,Niobrara,equivalent co2 released daily,metric tons,957.1916,824.3016,498.5156,647.9552,623.3500,1669.2628,831.6448,437.4684,616.1164,677.2184,514.4076,718.5924,453.7440,190.0464,572.1668,703.9608,253.5048,346.7744,363.2144,475.7736,90.0912,830.4940,389.6280,287.8644,518.8464,42.0864,614.3080,131.8488,42.2508
