state,combined_name,company_name,ticker,product_type,product_units,jan_2019,feb_2019,mar_2019,apr_2019,may_2019,jun_2019,jul_2019,aug_2019,sep_2019,oct_2019,nov_2019,dec_2019,jan_2020,feb_2020,mar_2020,apr_2020,may_2020,jun_2020,jul_2020,aug_2020,sep_2020,oct_2020,nov_2020,dec_2020,jan_2021,feb_2021
TX,Seaboard Operating Co. (Private),Seaboard Operating Co.,Private,flared gas,Mcf,4684.0,4418.0,4623.0,4343.0,4329.0,4214.0,3534.0,4442.0,3822.0,5411.0,5411.0,5411.0,4022.0,354.0,3559.0,5400.0,3774.0,3241.0,3397.0,2652.0,3568.0,3605.0,3554.0,3640.0,,
TX,Seaboard Operating Co. (Private),Seaboard Operating Co.,Private,equivalent co2 released,metric tons,256.7,242.1,253.3,238.0,237.2,230.9,193.7,243.4,209.4,296.5,296.5,296.5,220.4,19.4,195.0,295.9,206.8,177.6,186.2,145.3,195.5,197.6,194.8,199.5,,
TX,Sem Operating Company Llc (Private),Sem Operating Company Llc,Private,flared gas,Mcf,21406.0,23760.0,14632.0,20406.0,17581.0,137472.0,174849.0,103399.0,82127.0,60294.0,19364.0,35252.0,11104.0,13117.0,6809.0,10791.0,12134.0,34331.0,23584.0,32325.0,12512.0,30619.0,26769.0,20246.0,,
TX,Sem Operating Company Llc (Private),Sem Operating Company Llc,Private,equivalent co2 released,metric tons,1173.0,1302.0,801.8,1118.2,963.4,7533.5,9581.7,5666.3,4500.6,3304.1,1061.1,1931.8,608.5,718.8,373.1,591.3,664.9,1881.3,1292.4,1771.4,685.7,1677.9,1466.9,1109.5,,
TX,Shiloh Oil Company Llc (Private),Shiloh Oil Company Llc,Private,flared gas,Mcf,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,100.0,,
TX,Shiloh Oil Company Llc (Private),Shiloh Oil Company Llc,Private,equivalent co2 released,metric tons,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,5.5,,
TX,Shoco Production Llc (Private),Shoco Production Llc,Private,flared gas,Mcf,,,,,,,,,,,,,,101.0,,,,,,,,,,,,
TX,Shoco Production Llc (Private),Shoco Production Llc,Private,equivalent co2 released,metric tons,,,,,,,,,,,,,,5.5,,,,,,,,,,,,
TX,Siana Oil & Gas (Private),Siana Oil & Gas,Private,flared gas,Mcf,,,,,,,,,223.0,124.0,,142.0,,168.0,137.0,145.0,,,,,,,,,,
TX,Siana Oil & Gas (Private),Siana Oil & Gas,Private,equivalent co2 released,metric tons,,,,,,,,,12.2,6.8,,7.8,,9.2,7.5,7.9,,,,,,,,,,
